playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2506400","null","Vincent Jackson","WR","TB","WR","TB","7.7734","129.8487","null","64","76","27","null","0.3922","81.0767","5.0767","8.85","149.6481","106.2759","3.6354","null",
"497302","null","Brandon LaFell","WR","NE","WR","NE","7.5017","129.5771","null","79","77","28","null","0.325","96.47","19.47","5.825","149.1228","113.2872","3.8134","null",
"2507999","null","Chris Ivory","RB","NYJ","RB","NYJ","7.4302","130.6863","null","69","78","26","null","1.8126","86.2883","8.2883","4.625","142.2434","118.2553","5.5217","24",
"2495982","null","Mario Williams","DL","BUF","DL","BUF","7.2777","88.8276","null","null","79","2","null","3.4212","133.765","54.765","3.1","96.1954","65","5.7992","null",
"2552487","null","Amari Cooper","WR","OAK","WR","OAK","7.2607","129.3361","null","50","80","29","null","2.2881","50.8333","-29.1667","12.375","146.0289","111.3047","5.3018","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","7.0928","129.1682","null","93","81","30","null","4.3815","101.2567","20.2567","5.05","145.0761","111.3144","4.032","17",
"2539935","null","Kiko Alonso","LB","PHI","LB","PHI","7.0425","131.8015","null","null","82","10","null","1.6373","113.08","31.08","4.35","141.2033","122.5862","4.0822","null",
"2540156","null","Giovani Bernard","RB","CIN","RB","CIN","6.9228","130.1789","null","71","83","27","null","3.5866","77.96","-5.04","10.225","154.0423","97.2539","6.3705","23",
"2506889","null","DQwell Jackson","LB","IND","LB","IND","6.0254","130.7844","null","null","84","11","null","2.5147","149.3","65.3","2.55","136.5505","121.6846","3.9632","null",
"2495485","null","Robert Quinn","DL","STL","DL","STL","5.8844","87.4342","null","null","85","3","null","5.179","83.15","-1.85","5","91.4454","83.2084","3.604","null",
"2540143","null","Alec Ogletree","LB","STL","LB","STL","4.785","129.544","null","null","86","12","null","2.6717","113.6","27.6","4.5","130.2857","128.316","6.1377","10",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","4.6194","256.3137","null","73","87","10","null","6.9291","87.8417","0.8417","7.275","268.3907","236.0008","3.0792","21",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","4.3124","127.5685","null","74","88","28","null","3.6322","74.4417","-13.5583","8.35","142.7235","91.9576","6.2629","25",
"2543572","null","Martavis Bryant","WR","PIT","WR","PIT","2.8525","124.9278","null","62","89","31","null","0.629","73.645","-15.355","10.3","139.8734","98.5453","4.6634","39",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","2.5701","124.6454","null","102","90","32","null","1.1107","108.0683","18.0683","6.075","138.0032","103.7705","4.8231","51",
"2552453","null","Tevin Coleman","RB","ATL","RB","ATL","2.36","125.6161","null","86","91","29","null","3.5401","84.77","-6.23","9.6","141.7448","81.4523","7.3791","14",
"2495762","null","Lawrence Timmons","LB","PIT","LB","PIT","2.2364","126.9954","null","null","92","13","null","0.8947","149.575","57.575","2.65","134.4381","116.6488","4.4203","30",
"2506112","null","Karlos Dansby","LB","CLE","LB","CLE","1.9902","126.7492","null","null","93","14","null","2.9852","159.535","66.535","2.05","133.1507","117.2788","3.6927","50",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","1.8769","123.9522","null","82","94","33","null","1.1899","114.5867","20.5867","5.675","129.9814","109.4537","3.9093","52",
"2533538","null","Chandler Jones","DL","NE","DL","NE","1.8287","83.3786","null","null","95","4","null","2.743","93.22","-1.78","4.25","92.9924","71.05","6.2385","2",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","1.4229","104.3782","null","90","96","6","null","2.1343","88.0383","-7.9617","4.7","110.1519","92.3733","4.0542","2",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","1.2881","104.2434","null","95","97","7","null","5.7898","72.7233","-24.2767","6.25","117.6759","85.2264","6.2187","7",
"2507763","null","Mike Wallace","WR","MIN","WR","MIN","1.0418","123.1172","null","85","98","34","null","0.7549","87.25","-10.75","6.375","135.032","100.0456","3.5136","38",
"2539311","null","Jamie Collins","LB","NE","LB","NE","0.6933","125.4523","null","null","99","15","null","3.8946","109.05","10.05","3.8","141.6173","101.4026","5.5633","13",
"2541147","null","Charles Johnson","WR","MIN","WR","MIN","0.3322","122.4075","null","92","100","35","null","0.2079","106.1767","6.1767","4.1","136.8422","99.2276","3.4315","43",
"2506366","null","Roddy White","WR","ATL","WR","ATL","0.2418","122.3171","null","70","101","36","null","0.3627","91.8017","-9.1983","6.475","132.4455","108.3674","4.7223","13",
"2532948","null","Harrison Smith","DB","MIN","DB","MIN","0.1646","124.234","null","null","102","1","null","1.6757","99.35","-2.65","5","137.3755","109.4756","5.8744","19",
"2505587","null","Anquan Boldin","WR","SF","WR","SF","0.0068","122.0821","null","83","103","37","null","0.5912","119.9783","16.9783","3.55","132.9573","101.9692","2.8328","41",
"496727","null","Morgan Burnett","DB","GB","DB","GB","-0.1646","123.9048","null","null","104","2","null","4.7692","104.65","0.65","4.75","126.5609","120.5","6.3452","12",
"2543509","null","Allen Robinson","WR","JAC","WR","JAC","-0.2485","121.8268","null","66","105","38","null","0.7053","89.5967","-15.4033","6.575","137.5013","99.4358","6.3924","44",
"79860","null","Matthew Stafford","QB","DET","QB","DET","-0.3874","251.3069","null","77","106","11","null","4.269","82.0433","-23.9567","7.725","265.1386","235.7485","3.0336","19",
"744","null","Calais Campbell","DL","ARI","DL","ARI","-0.4181","81.1318","null","null","107","5","null","1.554","122.365","15.365","3.15","85.5744","74.55","5.349","6",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","-0.9203","121.1551","null","80","108","39","null","2.764","109.5357","1.5357","3.48","130.0907","93.6124","3.5305","16",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","-0.9875","121.0878","null","78","109","40","null","5.4017","103.9467","-5.0533","4.6","137.397","105.6257","3.5817","34",
"2550189","null","Isaiah Crowell","RB","CLE","RB","CLE","-0.9997","122.2564","null","84","110","30","null","0.8201","91.1333","-18.8667","6.6","135.7292","98.2636","4.6767","21",
"497204","null","C.J. Spiller","RB","NO","RB","NO","-1.3604","121.8957","null","60","111","31","null","1.185","71.9217","-39.0783","10.45","143.0957","96.1458","6.2685","26",
"496780","null","Carlos Dunlap","DL","CIN","DL","CIN","-1.4107","80.1392","null","null","112","6","null","1.235","123.235","11.235","3.15","85.473","73.35","5.3616","5",
"2552374","null","Ameer Abdullah","RB","DET","RB","DET","-2.2792","120.9769","null","58","113","32","null","2.493","76.2767","-36.7233","7.025","154.9086","77.6102","5.1717","10",
"2495920","null","Rob Ninkovich","DL","NE","DL","NE","-2.5336","79.0163","null","null","114","7","null","0.7894","138.71","24.71","2.65","82.2032","75.2","5.6483","3",
"2532961","null","Danny Trevathan","LB","DEN","LB","DEN","-2.6834","122.0756","null","null","115","16","null","1.0394","158.625","43.625","2.15","127.4527","112.5862","3.0612","59",
"2540158","null","Zach Ertz","TE","PHI","TE","PHI","-2.711","100.2443","null","99","116","8","null","4.0746","101.9067","-14.0933","4.5","111.4741","86.1301","4.3789","18",
"496790","null","Everson Griffen","DL","MIN","DL","MIN","-2.7578","78.7921","null","null","117","8","null","1.9346","112.63","-4.37","3.25","83.3157","72.6","5.4735","4",
"79555","null","Arian Foster","RB","HOU","RB","HOU","-2.8115","120.4446","null","101","118","33","null","4.7318","64.5517","-53.4483","34.75","116.8127","92.6915","10.1819","2",
"496739","null","Reshad Jones","DB","MIA","DB","MIA","-2.8575","121.2119","null","null","119","3","null","5.0238","127.51","8.51","3.55","124.6818","118.65","6.2061","14",
"2506353","null","Derrick Johnson","LB","KC","LB","KC","-3.7192","121.0398","null","null","120","17","null","0.4144","160.775","40.775","2.5","131.0545","110.7403","2.7422","65",
"2514414","null","Jerrell Freeman","LB","IND","LB","IND","-3.7265","121.0325","null","null","121","18","null","0.8861","177.65","56.65","2.55","129.2982","109.6","2.0402","71",
"2495476","null","Jurrell Casey","DL","TEN","DL","TEN","-3.8882","77.6617","null","null","122","9","null","2.7883","121.4","-0.6","2.25","85.0627","70.65","4.5246","9",
"2506121","null","Philip Rivers","QB","SD","QB","SD","-4.232","247.4623","null","87","123","12","null","2.1701","101.16","-21.84","4.5","258.9703","224.8717","2.7805","11",
"2540190","null","Jelani Jenkins","LB","MIA","LB","MIA","-4.5408","120.2183","null","null","124","19","null","0.2121","138.9","14.9","2.5","129.7652","105.4026","4.2523","34",
"2532940","null","Keenan Robinson","LB","WAS","LB","WAS","-4.6845","120.0746","null","null","125","20","null","0.3701","158.4","33.4","2","133.4315","95.7032","4.0366","39",
"79850","null","James Laurinaitis","LB","STL","LB","STL","-4.8212","119.9378","null","null","126","21","null","0.9196","135.95","9.95","3.05","122.0046","116.5474","4.7388","25",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","-5.0808","246.6135","null","107","127","13","null","6.8852","123.79","-3.21","3.925","258.358","217.1902","3.0617","24",
"2552321","null","Stephone Anthony","LB","NO","LB","NO","-5.288","119.4711","null","null","128","22","null","1.4439","158.06","30.06","4.9","122.7954","113.5","4.5065","27",
"2495490","null","Muhammad Wilkerson","DL","NYJ","DL","NYJ","-5.4966","76.0533","null","null","129","10","null","3.067","143.85","14.85","3.05","81.0569","68.4","4.9106","8",
"100003","null","Bills","DST","BUF","DST","BUF","-6","192.1406","null","168","130","1","null","4.5069","77.59","-52.41","2.65","199.0087","137.2737","2.9368","null",
"2533008","null","Demario Davis","LB","NYJ","LB","NYJ","-6.1936","118.5655","null","null","131","23","null","2.1796","169.5","38.5","2.5","122.6351","113.65","3.8218","44",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","-6.2924","96.6629","null","97","132","9","null","3.0651","119.205","-12.795","3.3","109.9042","85.2847","3.7387","10",
"2552600","null","Nelson Agholor","WR","PHI","WR","PHI","-6.381","115.6943","null","88","133","41","null","1.1958","89.74","-43.26","5.925","130.8536","84.5162","6.0111","24",
"2495821","null","Marques Colston","WR","NO","WR","NO","-6.3974","115.678","null","96","134","42","null","2.5455","117.0017","-16.9983","3.35","124.577","88.7694","3.649","33",
"2543583","null","Devonta Freeman","RB","ATL","RB","ATL","-6.7329","116.5232","null","100","135","34","null","7.5706","112.2167","-22.7833","3.45","133.5824","91.2361","4.967","16",
"2495775","null","Eric Weddle","DB","SD","DB","SD","-7.0101","117.0593","null","null","136","4","null","2.1936","128.685","-7.315","2.9","122.5039","107.7","6.0002","18",
"2506029","null","Daryl Smith","LB","BAL","LB","BAL","-7.2701","117.4889","null","null","137","24","null","2.2727","230.55","93.55","2","127.4076","103.4928","3.0524","61",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","-7.2788","95.6766","null","89","138","10","null","6.3949","95.915","-42.085","4.975","104.6412","77.5554","6.3456","3",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","-7.7235","243.9707","null","72","139","14","null","11.2688","90.4717","-48.5283","6.775","264.9216","224.4445","2.6299","18",
"2539931","null","Ezekiel Ansah","DL","DET","DL","DET","-7.8563","73.6936","null","null","140","11","null","1.4761","141.25","1.25","3.25","79.0144","66.35","4.9104","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","-8.3538","114.9023","null","76","141","35","null","11.9069","91.5417","-49.4583","4.925","137.0849","80.542","5.2225","12",
"2552454","null","Landon Collins","DB","NYG","DB","NYG","-8.7524","115.317","null","null","142","5","null","1.1142","134.33","-7.67","3.05","131.7979","98.35","5.8202","20",
