PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,C,Robin Lopez (10002071),Robin Lopez,10002071,C,4400,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,SG/SF,Lance Stephenson (10002075),Lance Stephenson,10002075,SG,4400,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,C,Brook Lopez (10002069),Brook Lopez,10002069,C,4400,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,C,Tyson Chandler (10002073),Tyson Chandler,10002073,C,4400,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PG/SG,George Hill (10002065),George Hill,10002065,PG,4400,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SG/SF,Bojan Bogdanovic (10002080),Bojan Bogdanovic,10002080,SG,4300,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PG,De'Aaron Fox (10002091),De'Aaron Fox,10002091,PG,4300,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,PG,Tony Parker (10002094),Tony Parker,10002094,PG,4300,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,PG,Dejounte Murray (10002097),Dejounte Murray,10002097,PG,4300,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SF/PF,Markieff Morris (10002085),Markieff Morris,10002085,SF,4300,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,C,John Henson (10002089),John Henson,10002089,C,4300,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,PF/C,Jordan Bell (10002100),Jordan Bell,10002100,PF,4300,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,SG/SF,Allen Crabbe (10002104),Allen Crabbe,10002104,SG,4200,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PG,Patty Mills (10002112),Patty Mills,10002112,PG,4200,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SF,Michael Kidd-Gilchrist (10002109),Michael Kidd-Gilchrist,10002109,SF,4200,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,SG/SF,Andre Iguodala (10002115),Andre Iguodala,10002115,SG,4200,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,PG/SG,Terry Rozier (10002130),Terry Rozier,10002130,PG,4100,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,SG/SF,Evan Turner (10002125),Evan Turner,10002125,SG,4100,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,SG/SF,Bogdan Bogdanovic (10002120),Bogdan Bogdanovic,10002120,SG,4100,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SG/SF,Wesley Johnson (10002134),Wesley Johnson,10002134,SG,4100,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PF/C,Bam Adebayo (10002139),Bam Adebayo,10002139,PF,4100,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,PG/SG,Seth Curry (10002165),Seth Curry,10002165,PG,4000,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PG/SG,David Nwaba (10002148),David Nwaba,10002148,PG,4000,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,SG/SF,Josh Jackson (10002143),Josh Jackson,10002143,SG,4000,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,SG/SF,Manu Ginobili (10002156),Manu Ginobili,10002156,SG,4000,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,PG/SG,Frank Mason III (10002161),Frank Mason III,10002161,PG,4000,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SF/PF,Marvin Williams (10002152),Marvin Williams,10002152,SF,4000,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,PF,Maxi Kleber (10002172),Maxi Kleber,10002172,PF,3900,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PG,Cory Joseph (10002183),Cory Joseph,10002183,PG,3900,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,SG,Jamal Crawford (10002195),Jamal Crawford,10002195,SG,3900,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,PG,Mario Chalmers (10002169),Mario Chalmers,10002169,PG,3900,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,SF/PF,Chandler Parsons (10002186),Chandler Parsons,10002186,SF,3900,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,PG/SG,Andrew Harrison (10002198),Andrew Harrison,10002198,PG,3900,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,PF/C,Frank Kaminsky (10002175),Frank Kaminsky,10002175,PF,3900,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,SF/PF,Justise Winslow (10002179),Justise Winslow,10002179,SF,3900,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,SG/SF,Wayne Ellington (10002190),Wayne Ellington,10002190,SG,3900,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,PF/C,Jordan Mickey (10002202),Jordan Mickey,10002202,PF,3900,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,PG/SG,Malcolm Delaney (10002246),Malcolm Delaney,10002246,PG,3800,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,PG,Isaiah Taylor (10002250),Isaiah Taylor,10002250,PG,3800,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,SF/PF,Jonas Jerebko (10002230),Jonas Jerebko,10002230,SF,3800,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,PF/C,Ekpe Udoh (10002234),Ekpe Udoh,10002234,PF,3800,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SG/SF,Joe Johnson (10002238),Joe Johnson,10002238,SG,3800,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SG/SF,Joe Harris (10002211),Joe Harris,10002211,SG,3800,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PG/SG,Josh Hart (10002253),Josh Hart,10002253,PG,3800,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,SG,Troy Daniels (10002243),Troy Daniels,10002243,SG,3800,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PG/SG,D.J. Augustin (10002216),D.J. Augustin,10002216,PG,3800,ORL@WAS 12/23/2017 07:00PM ET,ORL,
