Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Marlon Moore,3000,Cle@KC 01:00PM ET,1.554,Cle
WR,Brandon Tate,3000,Cin@Den 08:30PM ET,0.993,Cin
RB,Antone Smith,3000,Chi@TB 01:00PM ET,0.220,Chi
RB,Jorvorskie Lane,3000,Chi@TB 01:00PM ET,0.236,TB
WR,Jordan Norwood,3000,Cin@Den 08:30PM ET,3.022,Den
WR,Hakeem Nicks,3000,NYG@Min 08:30PM ET,1.650,NYG
WR,Dwayne Harris,3000,NYG@Min 08:30PM ET,7.943,NYG
RB,Bruce Miller,3000,SF@Det 01:00PM ET,2.050,SF
WR,Marc Mariani,3000,Chi@TB 01:00PM ET,2.271,Chi
WR,Bryan Walters,3000,Jax@NO 04:05PM ET,6.800,Jax
WR,Jacoby Jones,3000,Pit@Bal 01:00PM ET,-0.111,Pit
RB,Boobie Dixon,3000,Dal@Buf 01:00PM ET,1.443,Buf
RB,Chase Reynolds,3000,StL@Sea 04:25PM ET,0.000,StL
WR,Marcus Easley,3000,Dal@Buf 01:00PM ET,1.067,Buf
RB,Stevan Ridley,3000,NE@NYJ 01:00PM ET,0.614,NYJ
RB,Matt Asiata,3000,NYG@Min 08:30PM ET,3.000,Min
WR,Charles Johnson,3000,NYG@Min 08:30PM ET,1.973,Min
WR,Brian Quick,3000,StL@Sea 04:25PM ET,1.300,StL
WR,Deonte Thompson,3000,Chi@TB 01:00PM ET,0.920,Chi
RB,Kendall Hunter,3000,Jax@NO 04:05PM ET,0.200,NO
WR,Leonard Hankerson,3000,NE@NYJ 01:00PM ET,8.856,NE
RB,Joe Banyard,3000,Jax@NO 04:05PM ET,0.000,Jax
WR,Jeremy Kerley,3000,NE@NYJ 01:00PM ET,3.086,NYJ
TE,Charles Clay,3000,Dal@Buf 01:00PM ET,9.600,Buf
RB,Travaris Cadet,3000,SF@Det 01:00PM ET,3.280,SF
RB,Anthony Sherman,3000,Cle@KC 01:00PM ET,0.236,KC
RB,Will Tukuafu,3000,StL@Sea 04:25PM ET,0.550,Sea
RB,Will Johnson,3000,Pit@Bal 01:00PM ET,0.879,Pit
RB,Bobby Rainey,3000,Chi@TB 01:00PM ET,0.457,TB
RB,Patrick DiMarco,3000,Car@Atl 01:00PM ET,2.450,Atl
RB,George Winn,3000,SF@Det 01:00PM ET,0.014,Det
RB,Austin Johnson,3000,Jax@NO 04:05PM ET,1.375,NO
WR,Terrelle Pryor,3000,Cle@KC 01:00PM ET,-0.050,Cle
WR,Brice Butler,3000,Dal@Buf 01:00PM ET,3.280,Dal
RB,Zach Line,3000,NYG@Min 08:30PM ET,2.443,Min
WR,Griff Whalen,3000,Ind@Mia 01:00PM ET,3.107,Ind
WR,Brenton Bersin,3000,Car@Atl 01:00PM ET,2.050,Car
