QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,James Conner (9758246),James Conner,9758246,RB,4500,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,QB,Cardale Jones (9758272),Cardale Jones,9758272,QB,4500,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,QB,Matt Cassel (9758435),Matt Cassel,9758435,QB,4500,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Jamison Crowder (9758507),Jamison Crowder,9758507,WR,4500,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,QB,Tom Savage (9758526),Tom Savage,9758526,QB,4500,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,QB,T.J. Yates (9758527),T.J. Yates,9758527,QB,4500,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,QB,Matt McGloin (9758528),Matt McGloin,9758528,QB,4500,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,QB,Cooper Rush (9758620),Cooper Rush,9758620,QB,4500,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,QB,Geno Smith (9758655),Geno Smith,9758655,QB,4500,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,RB,Orleans Darkwa (9758657),Orleans Darkwa,9758657,RB,4500,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,QB,Mike Glennon (9758075),Mike Glennon,9758075,QB,4400,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,WR,Kenny Golladay (9758195),Kenny Golladay,9758195,WR,4400,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,RB,Matt Forte (9758341),Matt Forte,9758341,RB,4400,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,WR,Terrance Williams (9758635),Terrance Williams,9758635,WR,4400,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,TE,Jason Witten (9758643),Jason Witten,9758643,TE,4400,DAL@ATL 11/12/2017 04:25PM ET,DAL,
