P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Rubby De La Rosa (10577157),Rubby De La Rosa,10577157,P,5200,SD@ARI 04/21/2018 08:10PM ET,ARI,0
,,,,,,,,,,,OF,Bryce Harper (10576573),Bryce Harper,10576573,OF,5200,WAS@LAD 04/21/2018 09:10PM ET,WAS,12.5
,,,,,,,,,,,SP,Chris Stratton (10577156),Chris Stratton,10577156,P,5200,SF@LAA 04/21/2018 09:07PM ET,SF,17.74
,,,,,,,,,,,SP,Kendall Graveman (10577158),Kendall Graveman,10577158,P,5200,BOS@OAK 04/21/2018 09:05PM ET,OAK,1.29
,,,,,,,,,,,SP,Taylor Clarke (10577159),Taylor Clarke,10577159,P,5100,SD@ARI 04/21/2018 08:10PM ET,ARI,0
,,,,,,,,,,,RP,Seth Lugo (10577160),Seth Lugo,10577160,P,5100,NYM@ATL 04/21/2018 07:10PM ET,NYM,4.25
,,,,,,,,,,,SP,Robert Gsellman (10577161),Robert Gsellman,10577161,P,5100,NYM@ATL 04/21/2018 07:10PM ET,NYM,5.74
,,,,,,,,,,,SP,Lucas Giolito (10576566),Lucas Giolito,10576566,P,5100,HOU@CWS 04/21/2018 07:10PM ET,CWS,5.7
,,,,,,,,,,,SS,Carlos Correa (10576574),Carlos Correa,10576574,SS,5100,HOU@CWS 04/21/2018 07:10PM ET,HOU,9.85
,,,,,,,,,,,2B,Jose Altuve (10576575),Jose Altuve,10576575,2B,5100,HOU@CWS 04/21/2018 07:10PM ET,HOU,7.10
,,,,,,,,,,,3B,Nolan Arenado (10576576),Nolan Arenado,10576576,3B,5100,CHC@COL 04/21/2018 08:10PM ET,COL,8.25
,,,,,,,,,,,SP,Tyson Ross (10577167),Tyson Ross,10577167,P,5000,SD@ARI 04/21/2018 08:10PM ET,SD,16.31
,,,,,,,,,,,SP,Braden Shipley (10577172),Braden Shipley,10577172,P,5000,SD@ARI 04/21/2018 08:10PM ET,ARI,0
,,,,,,,,,,,SP,Aaron Blair (10577169),Aaron Blair,10577169,P,5000,NYM@ATL 04/21/2018 07:10PM ET,ATL,0
,,,,,,,,,,,RP,Grant Dayton (10577173),Grant Dayton,10577173,P,5000,NYM@ATL 04/21/2018 07:10PM ET,ATL,0
,,,,,,,,,,,SP,Hector Santiago (10577168),Hector Santiago,10577168,P,5000,HOU@CWS 04/21/2018 07:10PM ET,CWS,5.89
,,,,,,,,,,,SP,Marco Gonzales (10577170),Marco Gonzales,10577170,P,5000,SEA@TEX 04/21/2018 08:05PM ET,SEA,10.32
,,,,,,,,,,,RP,Rob Whalen (10577171),Rob Whalen,10577171,P,5000,SEA@TEX 04/21/2018 08:05PM ET,SEA,0
,,,,,,,,,,,1B,Anthony Rizzo (10576577),Anthony Rizzo,10576577,1B,5000,CHC@COL 04/21/2018 08:10PM ET,CHC,6.78
,,,,,,,,,,,SP,Eddie Butler (10577174),Eddie Butler,10577174,P,5000,CHC@COL 04/21/2018 08:10PM ET,CHC,4.8
,,,,,,,,,,,SP,Dillon Peters (10577175),Dillon Peters,10577175,P,5000,MIA@MIL 04/21/2018 07:10PM ET,MIA,6.28
,,,,,,,,,,,SP,Caleb Smith (10577176),Caleb Smith,10577176,P,5000,MIA@MIL 04/21/2018 07:10PM ET,MIA,9.16
,,,,,,,,,,,SP,Joe Ross (10577163),Joe Ross,10577163,P,5000,WAS@LAD 04/21/2018 09:10PM ET,WAS,0
,,,,,,,,,,,SP,Julio Urias (10577165),Julio Urias,10577165,P,5000,WAS@LAD 04/21/2018 09:10PM ET,LAD,0
,,,,,,,,,,,SP,Alex Meyer (10577162),Alex Meyer,10577162,P,5000,SF@LAA 04/21/2018 09:07PM ET,LAA,0
