"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"WR","Wes Welker",3500,"Bal@Den 04:25PM ET",7.360
"WR","Andrew Hawkins",3500,"Cle@NYJ 01:00PM ET",10.793
"RB","Fozzy Whittaker",3500,"Car@Jax 01:00PM ET",4.075
"RB","Jacquizz Rodgers",3500,"GB@Chi 01:00PM ET",5.000
"TE","Ladarius Green",3500,"Det@SD 04:05PM ET",2.971
"TE","Kyle Rudolph",3500,"Min@SF 10:20PM ET",6.567
"RB","Branden Oliver",3500,"Det@SD 04:05PM ET",10.807
"TE","Tyler Eifert",3500,"Cin@Oak 04:25PM ET",6.700
"WR","Robert Woods",3500,"Ind@Buf 01:00PM ET",10.556
"WR","Marquess Wilson",3500,"GB@Chi 01:00PM ET",5.286
"RB","Javorius Allen",3500,"Bal@Den 04:25PM ET",0
"RB","Damien Williams",3500,"Mia@Was 01:00PM ET",3.619
"RB","Cameron Artis-Payne",3500,"Car@Jax 01:00PM ET",0
"DST","Seahawks ",3400,"Sea@StL 01:00PM ET",9.278
"TE","Owen Daniels",3400,"Bal@Den 04:25PM ET",8.812
"TE","Delanie Walker",3400,"Ten@TB 04:25PM ET",12.133
"RB","Steven Jackson",3400,"Phi@Atl 07:10PM ET",9.633
"RB","Toby Gerhart",3400,"Car@Jax 01:00PM ET",5.871
"RB","Stevan Ridley",3400,"Cle@NYJ 01:00PM ET",9.667
"RB","Kendall Hunter",3400,"Min@SF 10:20PM ET",0
"RB","Daniel Herron",3400,"Ind@Buf 01:00PM ET",7.274
"TE","Coby Fleener",3400,"Ind@Buf 01:00PM ET",10.479
"WR","Cole Beasley",3400,"NYG@Dal 08:30PM ET",6.561
"TE","Dwayne Allen",3400,"Ind@Buf 01:00PM ET",8.906
"TE","Josh Hill",3400,"NO@Ari 04:05PM ET",3.850
"RB","David Cobb",3400,"Ten@TB 04:25PM ET",0
"RB","Jay Ajayi",3400,"Mia@Was 01:00PM ET",0
"TE","Austin Seferian-Jenkins",3400,"Ten@TB 04:25PM ET",6.011
"RB","Lorenzo Taliaferro",3400,"Bal@Den 04:25PM ET",5.508
"RB","Darren Sproles",3300,"Phi@Atl 07:10PM ET",10.773
"WR","Andre Caldwell",3300,"Bal@Den 04:25PM ET",0.571
"WR","Brian Hartline",3300,"Cle@NYJ 01:00PM ET",6.150
"RB","Dexter McCluster",3300,"Ten@TB 04:25PM ET",4.557
"WR","Kamar Aiken",3300,"Bal@Den 04:25PM ET",4.389
"WR","Mohamed Sanu",3300,"Cin@Oak 04:25PM ET",11.256
"RB","Trent Richardson",3300,"Cin@Oak 04:25PM ET",7.425
"TE","Jordan Reed",3300,"Mia@Was 01:00PM ET",8.955
"RB","Theo Riddick",3300,"Det@SD 04:05PM ET",6.840
"WR","Tavon Austin",3300,"Sea@StL 01:00PM ET",6.373
"RB","Jerick McKinnon",3300,"Min@SF 10:20PM ET",9.118
"DST","Bengals ",3200,"Cin@Oak 04:25PM ET",6.353
"RB","Chris Johnson",3200,"Cle@NYJ 01:00PM ET",7.463
"WR","Andre Roberts",3200,"Mia@Was 01:00PM ET",5.838
"TE","Larry Donnell",3200,"NYG@Dal 08:30PM ET",9.831
"RB","Zac Stacy",3200,"Cle@NYJ 01:00PM ET",5.115
"RB","Mike Davis",3200,"Min@SF 10:20PM ET",0
"DST","Browns ",3100,"Cle@NYJ 01:00PM ET",8.188
"DST","Panthers ",3100,"Car@Jax 01:00PM ET",7.222
"TE","Vernon Davis",3100,"Min@SF 10:20PM ET",4.493
"RB","Knowshon Moreno",3100,"Mia@Was 01:00PM ET",8.533
"DST","Texans ",3000,"KC@Hou 01:00PM ET",10.875
"DST","Packers ",3000,"GB@Chi 01:00PM ET",9.389
"DST","Chiefs ",3000,"KC@Hou 01:00PM ET",7.500
"DST","Dolphins ",3000,"Mia@Was 01:00PM ET",8.125
"WR","Josh Cribbs",3000,"Ind@Buf 01:00PM ET",0.089
"WR","Lance Moore",3000,"Det@SD 04:05PM ET",3.414
"RB","Maurice Jones-Drew",3000,"Car@Jax 01:00PM ET",2.308
"WR","Jason Avant",3000,"KC@Hou 01:00PM ET",4.713
"WR","Santonio Holmes",3000,"GB@Chi 01:00PM ET",1.633
"WR","Miles Austin",3000,"Phi@Atl 07:10PM ET",9.650
"WR","Nate Washington",3000,"KC@Hou 01:00PM ET",7.481
"RB","Tyler Clutts",3000,"NYG@Dal 08:30PM ET",0.456
"WR","Harry Douglas",3000,"Ten@TB 04:25PM ET",10.550
"WR","Eric Weems",3000,"Phi@Atl 07:10PM ET",2.013
"WR","Jerricho Cotchery",3000,"Car@Jax 01:00PM ET",7.318
"WR","Josh Morgan",3000,"NO@Ari 04:05PM ET",1.857
"WR","Ted Ginn Jr.",3000,"Car@Jax 01:00PM ET",2.294
"RB","Jerome Felton",3000,"Ind@Buf 01:00PM ET",0.544
"RB","Tim Hightower",3000,"NO@Ari 04:05PM ET",0
"RB","Shonn Greene",3000,"Ten@TB 04:25PM ET",4.038
"WR","Marcus Thigpen",3000,"Ind@Buf 01:00PM ET",0.556
"RB","Ahmad Bradshaw",3000,"Ind@Buf 01:00PM ET",15.650
"RB","Cedric Peerman",3000,"Cin@Oak 04:25PM ET",0.588
"RB","Chris Ogbonnaya",3000,"NYG@Dal 08:30PM ET",1.571
"WR","Jerome Simpson",3000,"Min@SF 10:20PM ET",0
"RB","Mike Tolbert",3000,"Car@Jax 01:00PM ET",4.030
"RB","Jed Collins",3000,"NYG@Dal 08:30PM ET",0.994
"RB","John Kuhn",3000,"GB@Chi 01:00PM ET",1.361
"WR","Seyi Ajirotutu",3000,"Phi@Atl 07:10PM ET",0.531
"WR","Marlon Moore",3000,"Cle@NYJ 01:00PM ET",0.000
"WR","Brandon Tate",3000,"Cin@Oak 04:25PM ET",2.553
"RB","Darrel Young",3000,"Mia@Was 01:00PM ET",3.206
